UTC_TIME;CURRENCY;IMPACT;EVENT
2026-08-19T13:00:00Z;USD;HIGH;FOMC Meeting Minutes
2026-08-26T07:30:00Z;USD;HIGH;Core PCE Price Index m/m
2026-08-26T07:30:00Z;USD;HIGH;Prelim GDP q/q
2026-08-28T07:30:00Z;CAD;HIGH;GDP m/m
2026-08-28T09:00:00Z;USD;HIGH;Fed Chairman Warsh Speaks
2026-08-28T09:00:00Z;USD;HIGH;Prelim Benchmark Payrolls Revision
2026-09-01T07:00:00Z;USD;HIGH;ISM Manufacturing PMI
2026-09-02T06:45:00Z;CAD;HIGH;BOC Rate Statement
2026-09-02T06:45:00Z;CAD;HIGH;Overnight Rate
2026-09-02T07:30:00Z;CAD;HIGH;BOC Press Conference
2026-09-04T01:50:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-09-04T05:30:00Z;CAD;HIGH;Employment Change
2026-09-04T05:30:00Z;CAD;HIGH;Unemployment Rate
2026-09-04T05:30:00Z;USD;HIGH;Average Hourly Earnings m/m
2026-09-04T05:30:00Z;USD;HIGH;Non-Farm Employment Change
2026-09-04T05:30:00Z;USD;HIGH;Unemployment Rate
2026-09-10T05:15:00Z;EUR;HIGH;Main Refinancing Rate
2026-09-10T05:15:00Z;EUR;HIGH;Monetary Policy Statement
2026-09-10T05:30:00Z;USD;HIGH;Core PPI m/m
2026-09-10T05:30:00Z;USD;HIGH;PPI m/m
2026-09-10T05:45:00Z;EUR;HIGH;ECB Press Conference
2026-09-10T23:00:00Z;GBP;HIGH;GDP m/m
2026-09-11T05:30:00Z;USD;HIGH;Core CPI m/m
2026-09-11T05:30:00Z;USD;HIGH;Core CPI y/y
2026-09-11T05:30:00Z;USD;HIGH;CPI m/m
2026-09-11T05:30:00Z;USD;HIGH;CPI y/y
2026-09-14T05:30:00Z;CAD;HIGH;CPI m/m
2026-09-14T05:30:00Z;CAD;HIGH;Median CPI y/y
2026-09-14T05:30:00Z;CAD;HIGH;Trimmed CPI y/y
2026-09-14T23:00:00Z;GBP;HIGH;Claimant Count Change
2026-09-15T23:00:00Z;GBP;HIGH;CPI y/y
2026-09-16T11:00:00Z;USD;HIGH;Federal Funds Rate
2026-09-16T11:00:00Z;USD;HIGH;FOMC Economic Projections
2026-09-16T11:00:00Z;USD;HIGH;FOMC Statement
2026-09-16T11:30:00Z;USD;HIGH;FOMC Press Conference
2026-09-17T04:00:00Z;GBP;HIGH;Monetary Policy Summary
2026-09-17T04:00:00Z;GBP;HIGH;MPC Official Bank Rate Votes
2026-09-17T04:00:00Z;GBP;HIGH;Official Bank Rate
2026-09-25T02:15:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-09-30T05:30:00Z;USD;HIGH;Core PCE Price Index m/m
2026-09-30T05:30:00Z;USD;HIGH;Final GDP q/q
